"CD8T","CD4T","NK","Bcell","Mono","Gran"
0.0578503681179508,0.196302366340718,0.0720513595522575,0.0717534343003507,0.0480045640542772,0.551401778543673
0,0.236926305030465,0.18626124002018,0.0398929801526252,0.107468967374262,0.41793857878329
0,0.212678323609431,0.114217213453804,0.0132176612724609,0.0848926093231837,0.564535706180542
0.0360372547332378,0.123702982728402,0.0497003263152285,0.0353060762288053,0.0883539310707652,0.667881107093762
0.0363331989600907,0.11802359368322,0.0591552935844645,0.0130949904129687,0.0650253844617926,0.708345455388222
0.0342741617887748,0.191778557464237,0,0.0453614666179678,0.0554581782303939,0.677747417881872
0.0709588743321184,0.218608643853607,0.0423793346405793,0.0681470380171025,0.0511433341941515,0.550895295216253
0.00581818205544933,0.139795821440386,0.0172755430911198,0.0249870642417816,0.0735868684707358,0.73296215305253
0.0276647170453615,0.130326874508172,0.0427556252053463,0,0.122016233858378,0.657651121119669
0.0464653812657763,0.183365869892131,0.00810792610073996,0.0482315060548045,0.0722568184197785,0.626990750994366
0.0666612634582499,0.25010929075491,0.0132154966410403,0.0836638431045693,0.063370306217927,0.518623078363535
0,0.153534442859907,0.028444084574005,0.0341330282957594,0.0906698268026747,0.686451467872599
-9.80624778043058e-20,0.181049877850692,0.0329977835170962,0,0.0756458441103839,0.696546037357631
0.0500574043970556,0.181975238467083,0.0353885517446397,0.0324288058587743,0.057486496162843,0.631305860062918
0.0390262998291772,0.2433361790892,0.0613566426375161,0.0377389907952143,0.0702751283950547,0.547164689229286
0.0338723759067554,0.150745985161442,0.115500876040607,0.0189740931401479,0.0654788376685644,0.601471298716353
0.0417869795655042,0.182910481619406,0.0751141556282735,0.0212206407057493,0.0835872301431447,0.594663894869044
0.0475980665621385,0.187042605964462,0,0.0360572045830692,0.0482710688593396,0.66605268223612
0.0466021781472741,0.233414735878704,0.0687212814540175,0.0395788086906683,0.0468563924572485,0.548329297986273
0,0.230968201361005,0.0999401395751513,0.0263481212848325,0.0721901312156049,0.564999568041804
